subject,relation,object
"COVID-19, Sinusitis, Nasal polyps",common in,Pan-India
"COVID-19, Sinusitis, Nasal polyps",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Loss of smell,indicates,"COVID-19, Nasal polyps, Zinc deficiency"
"COVID-19, Nasal polyps, Zinc deficiency",has severity,Moderate
"COVID-19, Nasal polyps, Zinc deficiency",lasts for,14 days
"COVID-19, Nasal polyps, Zinc deficiency",common in,Pan-India
"COVID-19, Nasal polyps, Zinc deficiency",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Frequent infections,indicates,"HIV, Diabetes, Immunodeficiency"
"HIV, Diabetes, Immunodeficiency",has severity,Severe
"HIV, Diabetes, Immunodeficiency",lasts for,90 days
"HIV, Diabetes, Immunodeficiency",common in,Pan-India
"HIV, Diabetes, Immunodeficiency",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Swollen lymph nodes,indicates,"Infection, Tuberculosis, Lymphoma"
"Infection, Tuberculosis, Lymphoma",has severity,Moderate
"Infection, Tuberculosis, Lymphoma",lasts for,14 days
"Infection, Tuberculosis, Lymphoma",common in,Pan-India
"Infection, Tuberculosis, Lymphoma",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Unexplained weight loss,indicates,"Tuberculosis, Cancer, Hyperthyroidism"
"Tuberculosis, Cancer, Hyperthyroidism",has severity,Severe
"Tuberculosis, Cancer, Hyperthyroidism",lasts for,30 days
"Tuberculosis, Cancer, Hyperthyroidism",common in,Pan-India
"Tuberculosis, Cancer, Hyperthyroidism",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Unexplained weight gain,indicates,"Hypothyroidism, Cushing's syndrome, Edema"
"Hypothyroidism, Cushing's syndrome, Edema",has severity,Moderate
"Hypothyroidism, Cushing's syndrome, Edema",lasts for,30 days
"Hypothyroidism, Cushing's syndrome, Edema",common in,Pan-India
"Hypothyroidism, Cushing's syndrome, Edema",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Increased appetite,indicates,"Hyperthyroidism, Diabetes, Pregnancy"
"Hyperthyroidism, Diabetes, Pregnancy",has severity,Mild
"Hyperthyroidism, Diabetes, Pregnancy",lasts for,21 days
"Hyperthyroidism, Diabetes, Pregnancy",common in,Pan-India
"Hyperthyroidism, Diabetes, Pregnancy",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Decreased appetite,indicates,"Depression, Hepatitis, Cancer"
"Depression, Hepatitis, Cancer",has severity,Moderate
"Depression, Hepatitis, Cancer",lasts for,14 days
"Depression, Hepatitis, Cancer",common in,Pan-India
"Depression, Hepatitis, Cancer",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Delayed wound healing,indicates,"Diabetes, Peripheral vascular disease, Zinc deficiency"
"Diabetes, Peripheral vascular disease, Zinc deficiency",has severity,Moderate
"Diabetes, Peripheral vascular disease, Zinc deficiency",lasts for,21 days
"Diabetes, Peripheral vascular disease, Zinc deficiency",common in,Pan-India
"Diabetes, Peripheral vascular disease, Zinc deficiency",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Skin discoloration,indicates,"Vitiligo, Melasma, Tinea versicolor"
"Vitiligo, Melasma, Tinea versicolor",has severity,Mild
"Vitiligo, Melasma, Tinea versicolor",lasts for,180 days
"Vitiligo, Melasma, Tinea versicolor",common in,Pan-India
"Vitiligo, Melasma, Tinea versicolor",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Easy bruising,indicates,"Platelet disorders, Vitamin C deficiency, Liver disease"
"Platelet disorders, Vitamin C deficiency, Liver disease",has severity,Moderate
"Platelet disorders, Vitamin C deficiency, Liver disease",lasts for,14 days
"Platelet disorders, Vitamin C deficiency, Liver disease",common in,Pan-India
"Platelet disorders, Vitamin C deficiency, Liver disease",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Decreased exercise tolerance,indicates,"Heart failure, COPD, Anemia"
"Heart failure, COPD, Anemia",has severity,Moderate
"Heart failure, COPD, Anemia",lasts for,30 days
"Heart failure, COPD, Anemia",common in,Pan-India
"Heart failure, COPD, Anemia",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Foot ulcers,indicates,"Diabetes, Peripheral vascular disease, Neuropathy"
"Diabetes, Peripheral vascular disease, Neuropathy",has severity,Severe
"Diabetes, Peripheral vascular disease, Neuropathy",lasts for,60 days
"Diabetes, Peripheral vascular disease, Neuropathy",common in,Pan-India
"Diabetes, Peripheral vascular disease, Neuropathy",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Gangrene,indicates,"Diabetes, Peripheral vascular disease, Buerger's disease"
"Diabetes, Peripheral vascular disease, Buerger's disease",has severity,Severe
"Diabetes, Peripheral vascular disease, Buerger's disease",lasts for,30 days
"Diabetes, Peripheral vascular disease, Buerger's disease",common in,Pan-India
"Diabetes, Peripheral vascular disease, Buerger's disease",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Poor night vision,indicates,"Vitamin A deficiency, Retinitis pigmentosa, Cataracts"
"Vitamin A deficiency, Retinitis pigmentosa, Cataracts",has severity,Moderate
"Vitamin A deficiency, Retinitis pigmentosa, Cataracts",lasts for,60 days
"Vitamin A deficiency, Retinitis pigmentosa, Cataracts",common in,Rural India
"Vitamin A deficiency, Retinitis pigmentosa, Cataracts",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Frequent fractures,indicates,"Osteoporosis, Vitamin D deficiency, Paget's disease"
"Osteoporosis, Vitamin D deficiency, Paget's disease",has severity,Severe
"Osteoporosis, Vitamin D deficiency, Paget's disease",lasts for,60 days
"Osteoporosis, Vitamin D deficiency, Paget's disease",common in,North India
"Osteoporosis, Vitamin D deficiency, Paget's disease",available in language,"English, Hindi, Punjabi, Urdu"
Growing pains,indicates,"Normal growth, Vitamin D deficiency, Juvenile idiopathic arthritis"
"Normal growth, Vitamin D deficiency, Juvenile idiopathic arthritis",has severity,Mild
"Normal growth, Vitamin D deficiency, Juvenile idiopathic arthritis",lasts for,1 days
"Normal growth, Vitamin D deficiency, Juvenile idiopathic arthritis",common in,Pan-India
"Normal growth, Vitamin D deficiency, Juvenile idiopathic arthritis",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Bedwetting,indicates,"Urinary tract infection, Sleep apnea, Diabetes"
"Urinary tract infection, Sleep apnea, Diabetes",has severity,Mild
"Urinary tract infection, Sleep apnea, Diabetes",lasts for,7 days
"Urinary tract infection, Sleep apnea, Diabetes",common in,Pan-India
"Urinary tract infection, Sleep apnea, Diabetes",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Failure to thrive,indicates,"Malnutrition, Congenital heart disease, Celiac disease"
"Malnutrition, Congenital heart disease, Celiac disease",has severity,Severe
"Malnutrition, Congenital heart disease, Celiac disease",lasts for,90 days
"Malnutrition, Congenital heart disease, Celiac disease",common in,Rural India
"Malnutrition, Congenital heart disease, Celiac disease",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Developmental delay,indicates,"Down syndrome, Autism spectrum disorder, Hypothyroidism"
"Down syndrome, Autism spectrum disorder, Hypothyroidism",has severity,Severe
"Down syndrome, Autism spectrum disorder, Hypothyroidism",lasts for,365 days
"Down syndrome, Autism spectrum disorder, Hypothyroidism",common in,Pan-India
"Down syndrome, Autism spectrum disorder, Hypothyroidism",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Abnormal gait,indicates,"Cerebral palsy, Muscular dystrophy, Vitamin B12 deficiency"
"Cerebral palsy, Muscular dystrophy, Vitamin B12 deficiency",has severity,Severe
"Cerebral palsy, Muscular dystrophy, Vitamin B12 deficiency",lasts for,180 days
"Cerebral palsy, Muscular dystrophy, Vitamin B12 deficiency",common in,Pan-India
"Cerebral palsy, Muscular dystrophy, Vitamin B12 deficiency",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Limping,indicates,"Hip dysplasia, Leg length discrepancy, Juvenile arthritis"
"Hip dysplasia, Leg length discrepancy, Juvenile arthritis",has severity,Moderate
"Hip dysplasia, Leg length discrepancy, Juvenile arthritis",lasts for,14 days
"Hip dysplasia, Leg length discrepancy, Juvenile arthritis",common in,Pan-India
"Hip dysplasia, Leg length discrepancy, Juvenile arthritis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Toe walking,indicates,"Cerebral palsy, Autism spectrum disorder, Tight Achilles tendon"
"Cerebral palsy, Autism spectrum disorder, Tight Achilles tendon",has severity,Moderate
"Cerebral palsy, Autism spectrum disorder, Tight Achilles tendon",lasts for,180 days
"Cerebral palsy, Autism spectrum disorder, Tight Achilles tendon",common in,Pan-India
"Cerebral palsy, Autism spectrum disorder, Tight Achilles tendon",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Bowlegs,indicates,"Vitamin D deficiency, Blount's disease, Normal development"
"Vitamin D deficiency, Blount's disease, Normal development",has severity,Mild
"Vitamin D deficiency, Blount's disease, Normal development",lasts for,365 days
"Vitamin D deficiency, Blount's disease, Normal development",common in,Rural India
"Vitamin D deficiency, Blount's disease, Normal development",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Knock knees,indicates,"Normal development, Rickets, Obesity"
"Normal development, Rickets, Obesity",has severity,Mild
"Normal development, Rickets, Obesity",lasts for,365 days
"Normal development, Rickets, Obesity",common in,Pan-India
"Normal development, Rickets, Obesity",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Flat feet,indicates,"Normal variant, Obesity, Ligament laxity"
"Normal variant, Obesity, Ligament laxity",has severity,Mild
"Normal variant, Obesity, Ligament laxity",lasts for,365 days
"Normal variant, Obesity, Ligament laxity",common in,Pan-India
"Normal variant, Obesity, Ligament laxity",available in language,"English, Hindi, Tamil, Bengali, Marathi"
High arched feet,indicates,"Charcot-Marie-Tooth disease, Cerebral palsy, Normal variant"
"Charcot-Marie-Tooth disease, Cerebral palsy, Normal variant",has severity,Mild
"Charcot-Marie-Tooth disease, Cerebral palsy, Normal variant",lasts for,365 days
"Charcot-Marie-Tooth disease, Cerebral palsy, Normal variant",common in,Pan-India
"Charcot-Marie-Tooth disease, Cerebral palsy, Normal variant",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Excessive crying in infants,indicates,"Colic, Ear infection, Gastroesophageal reflux"
"Colic, Ear infection, Gastroesophageal reflux",has severity,Moderate
"Colic, Ear infection, Gastroesophageal reflux",lasts for,90 days
"Colic, Ear infection, Gastroesophageal reflux",common in,Pan-India
"Colic, Ear infection, Gastroesophageal reflux",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Recurrent fever in children,indicates,"Periodic fever syndromes, Juvenile idiopathic arthritis, Immunodeficiency"
"Periodic fever syndromes, Juvenile idiopathic arthritis, Immunodeficiency",has severity,Moderate
"Periodic fever syndromes, Juvenile idiopathic arthritis, Immunodeficiency",lasts for,7 days
"Periodic fever syndromes, Juvenile idiopathic arthritis, Immunodeficiency",common in,Pan-India
"Periodic fever syndromes, Juvenile idiopathic arthritis, Immunodeficiency",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Recurrent abdominal pain in children,indicates,"Irritable bowel syndrome, Constipation, Abdominal migraine"
"Irritable bowel syndrome, Constipation, Abdominal migraine",has severity,Moderate
"Irritable bowel syndrome, Constipation, Abdominal migraine",lasts for,2 days
"Irritable bowel syndrome, Constipation, Abdominal migraine",common in,Pan-India
"Irritable bowel syndrome, Constipation, Abdominal migraine",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Excessive sweating in children,indicates,"Hyperthyroidism, Anxiety, Infection"
"Hyperthyroidism, Anxiety, Infection",has severity,Mild
"Hyperthyroidism, Anxiety, Infection",lasts for,7 days
"Hyperthyroidism, Anxiety, Infection",common in,Pan-India
"Hyperthyroidism, Anxiety, Infection",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Enlarged tonsils,indicates,"Chronic tonsillitis, Infectious mononucleosis, Lymphoma"
"Chronic tonsillitis, Infectious mononucleosis, Lymphoma",has severity,Moderate
"Chronic tonsillitis, Infectious mononucleosis, Lymphoma",lasts for,14 days
"Chronic tonsillitis, Infectious mononucleosis, Lymphoma",common in,Pan-India
"Chronic tonsillitis, Infectious mononucleosis, Lymphoma",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Snoring,indicates,"Adenoid hypertrophy, Obesity, Sleep apnea"
"Adenoid hypertrophy, Obesity, Sleep apnea",has severity,Mild
"Adenoid hypertrophy, Obesity, Sleep apnea",lasts for,180 days
"Adenoid hypertrophy, Obesity, Sleep apnea",common in,Pan-India
"Adenoid hypertrophy, Obesity, Sleep apnea",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Mouth breathing,indicates,"Adenoid hypertrophy, Deviated nasal septum, Allergic rhinitis"
"Adenoid hypertrophy, Deviated nasal septum, Allergic rhinitis",has severity,Mild
"Adenoid hypertrophy, Deviated nasal septum, Allergic rhinitis",lasts for,180 days
"Adenoid hypertrophy, Deviated nasal septum, Allergic rhinitis",common in,Pan-India
"Adenoid hypertrophy, Deviated nasal septum, Allergic rhinitis",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Recurrent ear infections,indicates,"Adenoid hypertrophy, Eustachian tube dysfunction, Immunodeficiency"
"Adenoid hypertrophy, Eustachian tube dysfunction, Immunodeficiency",has severity,Moderate
"Adenoid hypertrophy, Eustachian tube dysfunction, Immunodeficiency",lasts for,7 days
"Adenoid hypertrophy, Eustachian tube dysfunction, Immunodeficiency",common in,Pan-India
"Adenoid hypertrophy, Eustachian tube dysfunction, Immunodeficiency",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Delayed teething,indicates,"Vitamin D deficiency, Hypothyroidism, Down syndrome"
"Vitamin D deficiency, Hypothyroidism, Down syndrome",has severity,Mild
"Vitamin D deficiency, Hypothyroidism, Down syndrome",lasts for,90 days
"Vitamin D deficiency, Hypothyroidism, Down syndrome",common in,Rural India
"Vitamin D deficiency, Hypothyroidism, Down syndrome",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Early puberty,indicates,"Precocious puberty, Congenital adrenal hyperplasia, Hormone-secreting tumors"
"Precocious puberty, Congenital adrenal hyperplasia, Hormone-secreting tumors",has severity,Moderate
"Precocious puberty, Congenital adrenal hyperplasia, Hormone-secreting tumors",lasts for,365 days
"Precocious puberty, Congenital adrenal hyperplasia, Hormone-secreting tumors",common in,Pan-India
"Precocious puberty, Congenital adrenal hyperplasia, Hormone-secreting tumors",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Delayed puberty,indicates,"Constitutional delay, Hypogonadism, Chronic disease"
"Constitutional delay, Hypogonadism, Chronic disease",has severity,Moderate
"Constitutional delay, Hypogonadism, Chronic disease",lasts for,365 days
"Constitutional delay, Hypogonadism, Chronic disease",common in,Pan-India
"Constitutional delay, Hypogonadism, Chronic disease",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Short stature,indicates,"Growth hormone deficiency, Hypothyroidism, Malnutrition"
"Growth hormone deficiency, Hypothyroidism, Malnutrition",has severity,Moderate
"Growth hormone deficiency, Hypothyroidism, Malnutrition",lasts for,365 days
"Growth hormone deficiency, Hypothyroidism, Malnutrition",common in,Rural India
"Growth hormone deficiency, Hypothyroidism, Malnutrition",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Tall stature,indicates,"Marfan syndrome, Gigantism, Klinefelter syndrome"
"Marfan syndrome, Gigantism, Klinefelter syndrome",has severity,Mild
"Marfan syndrome, Gigantism, Klinefelter syndrome",lasts for,365 days
"Marfan syndrome, Gigantism, Klinefelter syndrome",common in,North India
"Marfan syndrome, Gigantism, Klinefelter syndrome",available in language,"English, Hindi, Punjabi, Urdu"
Excessive thirst in children,indicates,"Diabetes, Diabetes insipidus, Psychogenic polydipsia"
"Diabetes, Diabetes insipidus, Psychogenic polydipsia",has severity,Moderate
"Diabetes, Diabetes insipidus, Psychogenic polydipsia",lasts for,14 days
"Diabetes, Diabetes insipidus, Psychogenic polydipsia",common in,Pan-India
"Diabetes, Diabetes insipidus, Psychogenic polydipsia",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Frequent urination in children,indicates,"Diabetes, Urinary tract infection, Overactive bladder"
"Diabetes, Urinary tract infection, Overactive bladder",has severity,Moderate
"Diabetes, Urinary tract infection, Overactive bladder",lasts for,7 days
"Diabetes, Urinary tract infection, Overactive bladder",common in,Pan-India
"Diabetes, Urinary tract infection, Overactive bladder",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Pain in the legs,indicates,"Growing pains, Vitamin D deficiency, Juvenile idiopathic arthritis"
"Growing pains, Vitamin D deficiency, Juvenile idiopathic arthritis",has severity,Moderate
"Growing pains, Vitamin D deficiency, Juvenile idiopathic arthritis",lasts for,14 days
"Growing pains, Vitamin D deficiency, Juvenile idiopathic arthritis",common in,Pan-India
"Growing pains, Vitamin D deficiency, Juvenile idiopathic arthritis",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Bow legs in children,indicates,"Vitamin D deficiency, Rickets, Blount's disease"
"Vitamin D deficiency, Rickets, Blount's disease",has severity,Moderate
"Vitamin D deficiency, Rickets, Blount's disease",lasts for,180 days
"Vitamin D deficiency, Rickets, Blount's disease",common in,Rural India
"Vitamin D deficiency, Rickets, Blount's disease",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Knock knees in children,indicates,"Rickets, Obesity, Normal variant"
"Rickets, Obesity, Normal variant",has severity,Mild
"Rickets, Obesity, Normal variant",lasts for,180 days
"Rickets, Obesity, Normal variant",common in,Pan-India
"Rickets, Obesity, Normal variant",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Refusal to walk,indicates,"Toxic synovitis, Juvenile idiopathic arthritis, Fracture"
"Toxic synovitis, Juvenile idiopathic arthritis, Fracture",has severity,Moderate
"Toxic synovitis, Juvenile idiopathic arthritis, Fracture",lasts for,14 days
"Toxic synovitis, Juvenile idiopathic arthritis, Fracture",common in,Pan-India
"Toxic synovitis, Juvenile idiopathic arthritis, Fracture",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Vision problems in children,indicates,"Refractive errors, Amblyopia, Strabismus"
"Refractive errors, Amblyopia, Strabismus",has severity,Moderate
"Refractive errors, Amblyopia, Strabismus",lasts for,180 days
"Refractive errors, Amblyopia, Strabismus",common in,Pan-India
"Refractive errors, Amblyopia, Strabismus",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Head tilting,indicates,"Torticollis, Vision problems, Ear infection"
"Torticollis, Vision problems, Ear infection",has severity,Moderate
"Torticollis, Vision problems, Ear infection",lasts for,14 days
"Torticollis, Vision problems, Ear infection",common in,Pan-India
"Torticollis, Vision problems, Ear infection",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Large head,indicates,"Hydrocephalus, Familial macrocephaly, Brain tumor"
"Hydrocephalus, Familial macrocephaly, Brain tumor",has severity,Severe
"Hydrocephalus, Familial macrocephaly, Brain tumor",lasts for,365 days
"Hydrocephalus, Familial macrocephaly, Brain tumor",common in,Pan-India
"Hydrocephalus, Familial macrocephaly, Brain tumor",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Small head,indicates,"Microcephaly, Malnutrition, Genetic disorders"
"Microcephaly, Malnutrition, Genetic disorders",has severity,Severe
"Microcephaly, Malnutrition, Genetic disorders",lasts for,365 days
"Microcephaly, Malnutrition, Genetic disorders",common in,Rural India
"Microcephaly, Malnutrition, Genetic disorders",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Speech delay,indicates,"Autism spectrum disorder, Hearing loss, Intellectual disability"
"Autism spectrum disorder, Hearing loss, Intellectual disability",has severity,Severe
"Autism spectrum disorder, Hearing loss, Intellectual disability",lasts for,365 days
"Autism spectrum disorder, Hearing loss, Intellectual disability",common in,Pan-India
"Autism spectrum disorder, Hearing loss, Intellectual disability",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Hyperactivity,indicates,"ADHD, Hyperthyroidism, Lead poisoning"
"ADHD, Hyperthyroidism, Lead poisoning",has severity,Moderate
"ADHD, Hyperthyroidism, Lead poisoning",lasts for,365 days
"ADHD, Hyperthyroidism, Lead poisoning",common in,Urban India
"ADHD, Hyperthyroidism, Lead poisoning",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Inattention,indicates,"ADHD, Learning disabilities, Sleep disorders"
"ADHD, Learning disabilities, Sleep disorders",has severity,Moderate
"ADHD, Learning disabilities, Sleep disorders",lasts for,365 days
"ADHD, Learning disabilities, Sleep disorders",common in,Urban India
"ADHD, Learning disabilities, Sleep disorders",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Learning difficulties,indicates,"Learning disabilities, ADHD, Intellectual disability"
"Learning disabilities, ADHD, Intellectual disability",has severity,Moderate
"Learning disabilities, ADHD, Intellectual disability",lasts for,365 days
"Learning disabilities, ADHD, Intellectual disability",common in,Pan-India
"Learning disabilities, ADHD, Intellectual disability",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Social withdrawal,indicates,"Autism spectrum disorder, Depression, Anxiety"
"Autism spectrum disorder, Depression, Anxiety",has severity,Moderate
"Autism spectrum disorder, Depression, Anxiety",lasts for,180 days
"Autism spectrum disorder, Depression, Anxiety",common in,Urban India
"Autism spectrum disorder, Depression, Anxiety",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Repetitive behaviors,indicates,"Autism spectrum disorder, OCD, Tic disorders"
"Autism spectrum disorder, OCD, Tic disorders",has severity,Moderate
"Autism spectrum disorder, OCD, Tic disorders",lasts for,365 days
"Autism spectrum disorder, OCD, Tic disorders",common in,Pan-India
"Autism spectrum disorder, OCD, Tic disorders",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Temper tantrums,indicates,"Normal development, ADHD, Autism spectrum disorder"
"Normal development, ADHD, Autism spectrum disorder",has severity,Mild
"Normal development, ADHD, Autism spectrum disorder",lasts for,14 days
"Normal development, ADHD, Autism spectrum disorder",common in,Pan-India
"Normal development, ADHD, Autism spectrum disorder",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Sleep problems in children,indicates,"Sleep apnea, Anxiety, ADHD"
"Sleep apnea, Anxiety, ADHD",has severity,Moderate
"Sleep apnea, Anxiety, ADHD",lasts for,30 days
"Sleep apnea, Anxiety, ADHD",common in,Pan-India
"Sleep apnea, Anxiety, ADHD",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Night terrors,indicates,"Normal variant, Stress, Sleep disorders"
"Normal variant, Stress, Sleep disorders",has severity,Mild
"Normal variant, Stress, Sleep disorders",lasts for,7 days
"Normal variant, Stress, Sleep disorders",common in,Pan-India
"Normal variant, Stress, Sleep disorders",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Sleepwalking,indicates,"Normal variant, Sleep disorders, Stress"
"Normal variant, Sleep disorders, Stress",has severity,Mild
"Normal variant, Sleep disorders, Stress",lasts for,7 days
"Normal variant, Sleep disorders, Stress",common in,Pan-India
"Normal variant, Sleep disorders, Stress",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Bedwetting,indicates,"Urinary tract infection, Sleep apnea, Diabetes"
"Urinary tract infection, Sleep apnea, Diabetes",has severity,Mild
"Urinary tract infection, Sleep apnea, Diabetes",lasts for,30 days
"Urinary tract infection, Sleep apnea, Diabetes",common in,Pan-India
"Urinary tract infection, Sleep apnea, Diabetes",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Tics,indicates,"Transient tic disorder, Tourette syndrome, OCD"
"Transient tic disorder, Tourette syndrome, OCD",has severity,Mild
"Transient tic disorder, Tourette syndrome, OCD",lasts for,30 days
"Transient tic disorder, Tourette syndrome, OCD",common in,Pan-India
"Transient tic disorder, Tourette syndrome, OCD",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Nail biting,indicates,"Anxiety, Normal habit, OCD"
"Anxiety, Normal habit, OCD",has severity,Mild
"Anxiety, Normal habit, OCD",lasts for,180 days
"Anxiety, Normal habit, OCD",common in,Pan-India
"Anxiety, Normal habit, OCD",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Thumb sucking,indicates,"Normal development, Anxiety, Dental problems"
"Normal development, Anxiety, Dental problems",has severity,Mild
"Normal development, Anxiety, Dental problems",lasts for,365 days
"Normal development, Anxiety, Dental problems",common in,Pan-India
"Normal development, Anxiety, Dental problems",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Hair pulling,indicates,"Trichotillomania, Anxiety, Stress"
"Trichotillomania, Anxiety, Stress",has severity,Moderate
"Trichotillomania, Anxiety, Stress",lasts for,180 days
"Trichotillomania, Anxiety, Stress",common in,Pan-India
"Trichotillomania, Anxiety, Stress",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Breath holding spells,indicates,"Normal variant, Iron deficiency, Emotional dysregulation"
"Normal variant, Iron deficiency, Emotional dysregulation",has severity,Moderate
"Normal variant, Iron deficiency, Emotional dysregulation",lasts for,7 days
"Normal variant, Iron deficiency, Emotional dysregulation",common in,Pan-India
"Normal variant, Iron deficiency, Emotional dysregulation",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Regression in development,indicates,"Autism spectrum disorder, Rett syndrome, Metabolic disorders"
"Autism spectrum disorder, Rett syndrome, Metabolic disorders",has severity,Severe
"Autism spectrum disorder, Rett syndrome, Metabolic disorders",lasts for,180 days
"Autism spectrum disorder, Rett syndrome, Metabolic disorders",common in,Pan-India
"Autism spectrum disorder, Rett syndrome, Metabolic disorders",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Facial weakness,indicates,"Bell's palsy, Stroke, Myasthenia gravis"
"Bell's palsy, Stroke, Myasthenia gravis",has severity,Severe
"Bell's palsy, Stroke, Myasthenia gravis",lasts for,21 days
"Bell's palsy, Stroke, Myasthenia gravis",common in,Pan-India
"Bell's palsy, Stroke, Myasthenia gravis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Lockjaw,indicates,"Tetanus, Temporomandibular joint disorder, Peritonsillar abscess"
"Tetanus, Temporomandibular joint disorder, Peritonsillar abscess",has severity,Severe
"Tetanus, Temporomandibular joint disorder, Peritonsillar abscess",lasts for,14 days
"Tetanus, Temporomandibular joint disorder, Peritonsillar abscess",common in,Rural India
"Tetanus, Temporomandibular joint disorder, Peritonsillar abscess",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Drooping eyelid,indicates,"Myasthenia gravis, Horner's syndrome, Stroke"
"Myasthenia gravis, Horner's syndrome, Stroke",has severity,Moderate
"Myasthenia gravis, Horner's syndrome, Stroke",lasts for,21 days
"Myasthenia gravis, Horner's syndrome, Stroke",common in,Pan-India
"Myasthenia gravis, Horner's syndrome, Stroke",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Grinding teeth,indicates,"Bruxism, Dental malocclusion, Anxiety"
"Bruxism, Dental malocclusion, Anxiety",has severity,Mild
"Bruxism, Dental malocclusion, Anxiety",lasts for,180 days
"Bruxism, Dental malocclusion, Anxiety",common in,Pan-India
"Bruxism, Dental malocclusion, Anxiety",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Frequent cavities,indicates,"Poor dental hygiene, Diet high in sugar, Genetic factors"
"Poor dental hygiene, Diet high in sugar, Genetic factors",has severity,Mild
"Poor dental hygiene, Diet high in sugar, Genetic factors",lasts for,30 days
"Poor dental hygiene, Diet high in sugar, Genetic factors",common in,Pan-India
"Poor dental hygiene, Diet high in sugar, Genetic factors",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Teeth sensitivity,indicates,"Dental erosion, Gum recession, Cracked tooth"
"Dental erosion, Gum recession, Cracked tooth",has severity,Mild
"Dental erosion, Gum recession, Cracked tooth",lasts for,30 days
"Dental erosion, Gum recession, Cracked tooth",common in,Pan-India
"Dental erosion, Gum recession, Cracked tooth",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Loose teeth,indicates,"Periodontal disease, Trauma, Osteoporosis"
"Periodontal disease, Trauma, Osteoporosis",has severity,Moderate
"Periodontal disease, Trauma, Osteoporosis",lasts for,30 days
"Periodontal disease, Trauma, Osteoporosis",common in,Pan-India
